DF_UID,roof_tilt,roof_aspect,roof_area,roof_x,roof_y,SIS,SISDIR,DHI,horizon_S,horizon_SSW,horizon_SWW,horizon_W,horizon_NWW,horizon_SSE,horizon_SEE,horizon_E,horizon_NEE,tilted_radiation
8268373,35,-138.0,49.75190294035944,583872.8125,252502.9375,1196.35130732455,631.5900847233298,564.7429328467492,23.765665292739897,26.1963732719421,16.376497387886,16.1551276564598,4.4164032459259,18.808064126968397,26.9765817642212,23.7320232391357,4.62024021595716,760
5910953,33,-130.0,49.46695518818308,574344.875,196616.328125,1236.4657172545135,710.0117334236572,526.441304430163,12.2526752298528,16.3629115494815,15.206877881830401,15.0667687329379,6.24091614918275,12.894891392100899,2.49068940227682,0.9978630867871372,1.5659849833358401,943
9047677,20,6.0,44.306037095217285,536721.4375,159537.765625,1345.5121757379495,793.3110657698262,552.1556912339394,4.248509883880615,20.3092172940572,32.434013472663004,32.946669234169896,41.3768255445692,3.13294419315126,1.42984666178624,0.8428845008214321,2.0001608530680297,1562
4895366,13,58.0,17.68671678213466,500377.59375,124121.7578125,1320.367278332917,794.5104279370806,525.7888471574927,24.922069311142,15.758575439453098,37.09291458129879,12.173876702785499,28.2937006950378,21.1932117342949,38.78132605552671,41.9197392463684,43.4108271598816,763
4629508,13,154.0,28.773526635170303,524015.75,152148.40625,1361.719043086478,824.3522118343633,537.3272272449432,15.515307108561199,22.755802790323898,16.778128147125198,22.8505090077718,11.493667125701899,15.942140579223599,16.603250185648598,19.727924823761,17.279628833135,1005
4834919,29,48.0,22.408500103413658,504298.5,138439.09375,1334.615565272119,790.0994676676263,544.4705169550239,14.955878067016599,4.27787594497204,19.0414482116699,4.83519480228424,0.862878215312958,15.8489061355591,18.7560983657837,24.4238898277283,24.4238898277283,1443
7394404,31,-48.0,35.63131034959705,556890.5625,134983.40625,1277.242545271255,746.7375041944632,530.4354802204709,2.613074887543915,1.05588856339455,1.0974767357111,6.17731767892838,0.584064215421677,0.994256384670734,9.919840991497038,4.65797474980354,3.11496013402939,1304
6372420,6,-169.0,50.69091024862266,590403.125,192957.171875,1272.2762856856325,724.8932674343213,547.3341553778234,4.621844083602942,3.2760259189776004,5.388053689684192,3.5960439443588297,22.858633450099397,3.08976238114493,13.0866295950753,9.797931264021571,27.2975591932024,1159
7622653,19,123.0,39.16266219267223,588085.5,122777.375,1466.9803115103643,851.88870561323,615.096150349767,26.320618152618398,14.930186748504601,26.1877568562826,31.0530495113797,33.6785528394911,26.901623196072002,22.789974368280802,22.605118327670606,20.6066878636678,1146
7413165,0,0.0,395.4978101674632,560219.5625,142103.203125,1252.7842693232894,733.5584792012828,519.1705837614044,0.10454919583657206,0.0,0.0,0.0571191212271943,4.11104774197527,4.77354013452343,32.6992579721937,54.2192906024409,57.1866352604885,969
4707009,11,131.0,1.145840865173838,538672.8125,151894.34375,1324.7369497338873,802.3703583625328,522.3085515161966,16.699396133422898,7.89287805557251,0.0,0.0,0.41888028383255,16.699396133422898,11.199089050292999,17.484546661377,17.484546661377,1194
7604338,20,78.0,42.5884244282616,574540.1875,130197.5078125,1365.4778715842333,772.4919267652278,592.9910805688064,3.14142608642578,4.48938563195142,8.74041219191118,11.7938150221651,17.0690957416188,5.322693673047152,12.6531927802346,20.813487247987197,22.843858718872102,1326
6886375,43,147.0,149.83218869430732,551325.375,173704.0625,1320.947133120081,758.1011427941069,562.7853207431397,24.750106634917106,15.1536178235654,0.884838934297915,7.3597873051961304,3.8111566432096295,26.8426362143623,28.457436914797203,23.532159469745803,23.3245599004957,761
7822985,25,-122.0,15.410070350045073,580151.5625,112985.859375,1365.0374148308613,840.8700668983697,524.1107681218905,0.744573771953585,0.9164210557937621,6.215196470419572,5.30230967203776,17.802118619283,1.78648559252421,0.733988573153814,0.0,0.0,1119
7834207,27,-130.0,42.594681713712795,582051.625,114989.5703125,1361.8697750757553,840.2907475966977,521.5226510008182,4.614855560991499,5.1771733297242095,8.404755989710491,8.781988445255491,9.039104859034222,1.73220968577597,5.54401548703512,9.23141874207391,10.124875863393099,1064
