#,@@ORI@@,@@WINS@@,@@RSA@@,@@OVER@@,@@HS@@,@@LIGHTS@@,Electricity:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),ZONE ONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](RunPeriod)
196,46.55517533,0.053023268,0.597841553,0.903855762,19.2119138,988.5958481,10460451300,47029385169,326605514.1,6717
197,46.19928238,0.06175443,0.700940231,1.565756292,21.25967304,1094.701659,11583169622,67833462020,334360776.1,3456.75
198,19.93057653,0.077393609,0.334523068,0.456175402,20.83332054,1030.535678,10904221677,65347592191,458569815.5,4516.5
199,20.73473495,0.033439757,0.556630597,0.582294925,18.17230584,855.80797,9055406828,36342038911,335107112.2,6716
200,66.21612846,0.070403462,0.520404716,1.49091104,18.08206641,816.6539231,8641113159,39547745525,217713451.6,6919
201,67.39655347,0.076404277,0.750758845,1.728661323,17.82384848,963.5181119,10195100764,37327414713,296971666,6885
202,5.426457368,0.04240591,0.542480463,0.551836473,22.22117608,953.3774946,10087801676,75465655832,423335081.2,519.75
203,87.79673527,0.042168758,0.587772978,1.146943644,20.5923166,1125.028203,11904058416,58353239591,278599298.9,4537.75
204,64.27661499,0.065941683,0.669911893,1.509980164,17.58489457,1056.212962,11175916098,34248677440,298630885.7,6833.25
205,30.62091961,0.046670366,0.777893085,1.41144067,18.61987132,964.2983118,10203356153,41225103695,315985395.6,6750.25
206,40.65231677,0.066341204,0.598446449,0.399796826,19.54900224,1097.700832,11614904230,51016945721,521286526.1,6579.25
207,57.60760979,0.072084318,0.673967674,1.54423949,20.4051738,1000.215851,10583403941,60702309331,302444732.2,5310
208,25.43142827,0.049137217,0.696534943,0.487790652,17.76578399,891.0712944,9428532294,34585185280,434529240.7,6759.25
209,81.10976519,0.067374086,0.760081417,0.755883286,18.37197142,1164.903712,12325985969,40219306213,463543392.7,6777
210,64.96140015,0.074438728,0.607391428,0.228159979,18.10994302,825.7137988,8736976790,39673125163,452025946.5,6840.5
211,32.03874373,0.044964846,0.624419724,0.703542938,18.73546425,983.6597859,10408222234,41861763152,376604928.7,6719.5
212,12.09936751,0.05063209,0.721457149,0.514468378,20.71960637,1100.856162,11648291157,60509819799,551718583.7,4466.25
213,12.50463219,0.056744587,0.722869337,0.692844724,16.66286399,1047.30078,11081615230,26402876873,493340734.3,6783.5
214,25.68704479,0.023723812,0.780002721,0.429595733,18.35372018,1152.688599,12196736388,35396601231,518568449.4,6585.5
215,76.79841154,0.091107918,0.595057383,1.79288585,19.80027703,903.1600797,9556445182,57002385408,266263482.4,6631.5
216,33.77384142,0.06951005,0.494287165,1.347538404,19.65727295,1093.284849,11568178183,52819561260,334748105.7,6585.75
217,63.48129731,0.036467551,0.534809123,0.569236232,18.26728865,1003.65755,10619820974,36776850009,322734195.5,6706.5
218,8.212665292,0.080775034,0.772214129,1.080249115,15.09498574,841.3276522,8902188848,17708536429,410042695.1,6903.75
219,76.31937272,0.090042289,0.592177333,2.019608546,20.63553735,1059.990058,11215882003,64801600468,301873054,4994
220,68.53197246,0.062099037,0.497316971,0.221472876,20.1997933,1118.255371,11832394276,56628202268,511253948.3,5605.5
221,20.58205825,0.063396454,0.704582768,0.763629776,17.65985133,1028.536693,10883070174,34707237630,465628846.4,6794
222,84.04250979,0.082918665,0.675081242,1.840991679,21.30713751,950.1373301,10053517106,71485013425,282101201,3640.25
223,70.70606891,0.06871529,0.561097424,0.423973836,18.47619836,969.8787769,10262403724,41890109376,422514419.3,6807
224,5.061655002,0.070448573,0.657085795,1.368019817,20.25941681,1170.226201,12382303855,58381899669,437682748.5,5630.75
225,32.29222131,0.038443094,0.56419883,1.568077273,20.76967305,1061.686371,11233830891,60068375345,266246344,4229.25
226,43.48571497,0.045608432,0.638096684,1.005187658,19.70376753,945.786917,10007484863,50902976375,299166766.1,6407
227,86.48224609,0.078330159,0.775030504,1.286874615,22.05258803,967.0463259,10232433220,78482154462,326857775.1,1545.5
228,89.26274917,0.071088923,0.439623046,2.059394374,18.64647496,992.7365292,10504264344,44089772273,224345159.1,6903.5
229,35.22378423,0.066222493,0.660217692,2.045739898,18.41668634,1084.336212,11473491580,41220094718,320789612.3,6824
230,86.33809785,0.044441937,0.708050495,1.9091832,17.6338122,902.4369494,9548793654,33164803282,210751573.6,6843.75
231,24.06296732,0.057817834,0.690005624,0.694495488,19.94401452,1079.177269,11418904179,54013046639,480050474.7,6127.75
232,87.06210249,0.069432877,0.499638812,1.6051296,20.42260307,978.9755723,10358658007,60867134395,237561383.3,5287.25
233,23.05273908,0.048223226,0.870564635,0.194759782,21.97096938,1020.901146,10802277533,72765618411,647077046.6,1315.75
234,73.57855784,0.044106408,0.668397943,1.661732117,19.73372916,887.7149502,9393018413,51396842245,206034656.1,6458.25
235,84.96478956,0.081258568,0.576876747,1.211751423,19.22179414,1178.004891,12464611110,49321458190,353547629.2,6793.5
236,29.86738766,0.068372409,0.568939367,0.93755171,21.42230676,808.1963257,8551622306,71468914895,323706349.5,3212.75
237,55.96267202,0.05833907,0.819571417,1.588737319,20.61875605,1144.656997,12111753041,60590717741,354847037.9,4673.5
238,36.24309556,0.055102548,0.463243147,0.921029002,20.23183976,990.8305857,10484097327,57080584345,315034380.8,5554.75
